mass, fa, running cmu, # selected ALPs
0.65, 439.4, 0.000262382276126682, 0.0
0.65, 571.22, 0.0002873552674808576, 0.0
0.65, 742.586, 0.0003125605667165231, 0.0
0.65, 965.3618, 0.0003379368272797891, 0.0
0.65, 1254.97034, 0.0003634478721741774, 0.0
0.65, 1631.461442, 0.00038904663134145935, 0.0
0.65, 2120.8998746, 0.00041470724676531505, 0.0
0.65, 2757.16983698, 0.00044039624504858317, 0.0
0.65, 3584.320788074, 0.00046607938978384387, 3.063980254497338e-243
0.65, 4659.6170244962, 0.0004917442692341376, 4.016148838744112e-144
0.65, 6057.50213184506, 0.0005173669097980869, 1.3753303131699106e-85
0.65, 7874.752771398578, 0.0005429295211935227, 4.272462347811768e-51
0.65, 10237.178602818152, 0.0005684120758074944, 7.601923546404084e-31
0.65, 13308.332183663599, 0.0005938037401128717, 4.992449137743396e-19
0.65, 17300.831838762675, 0.000619097273398791, 3.5318749529447363e-12
0.65, 22491.08139039148, 0.0006442791560879395, 3.689183248611805e-08
0.65, 29238.40580750892, 0.0006693405094607992, 1.0921374855289717e-05
0.65, 38009.9275497616, 0.0006942736522806987, 0.0003924221669161577
0.65, 49412.90581469008, 0.0007190719845625479, 0.003704683954979422
0.7, 200.0, 0.00018944982449460714, 0.0
0.7, 260.0, 0.00021335606042236416, 0.0
0.7, 338.0, 0.00023769022402280414, 0.0
0.7, 439.4, 0.000262382276126682, 0.0
0.7, 571.22, 0.0002873552674808576, 0.0
0.7, 742.586, 0.0003125605667165231, 0.0
0.7, 965.3618, 0.0003379368272797891, 0.0
0.7, 1254.97034, 0.0003634478721741774, 0.0
0.7, 1631.461442, 0.00038904663134145935, 0.0
0.7, 2120.8998746, 0.00041470724676531505, 0.0
0.7, 2757.16983698, 0.00044039624504858317, 0.0
0.7, 3584.320788074, 0.00046607938978384387, 2.6056264361182158e-210
0.7, 4659.6170244962, 0.0004917442692341376, 8.348792544732302e-125
0.7, 6057.50213184506, 0.0005173669097980869, 2.6453867888787385e-74
0.7, 7874.752771398578, 0.0005429295211935227, 1.5464149464505303e-44
0.7, 10237.178602818152, 0.0005684120758074944, 4.925195917992626e-27
0.7, 13308.332183663599, 0.0005938037401128717, 9.236912978486031e-17
0.7, 17300.831838762675, 0.000619097273398791, 9.873333296203148e-11
0.7, 22491.08139039148, 0.0006442791560879395, 3.420725975177898e-07
0.7, 29238.40580750892, 0.0006693405094607992, 4.3038207019663826e-05
0.7, 38009.9275497616, 0.0006942736522806987, 0.0008442626249362213
0.7, 49412.90581469008, 0.0007190719845625479, 0.005516803422281483
